municipality_id,procedure_id,field,expected_found,expected_value,note,source_url,required_elements
nerima,tennyu,必要書類,true,窓口に来る方の本人確認書類、前住所地発行の転出証明書（マイナンバーカードで特例転出した場合は不要・代わりにマイナンバーカードが必須）。該当者のみ在留カード等、在学証明書、代理人の場合は委任状,本則の書類と「該当する方のみ」の書類が同一リストに混在している,https://www.city.nerima.tokyo.jp/kurashi/koseki/kiroku/tennyu.html,本人確認書類=窓口に来る方の本人確認書類|前住所地からの持参書類=前住所地発行の転出証明書。マイナンバーカードで特例転出した場合は転出証明書は不要で、代わりにマイナンバーカードが必要|外国人住民の追加書類=外国人住民の方は在留カード、特別永住者証明書または外国人登録証明書のいずれか|代理人が届け出る場合=別世帯の任意代理人が届出をする場合は委任状|該当者限定・数量の条件=練馬区立の小・中学校に転校する方は在学証明書
nerima,tennyu,窓口オンライン可否,true,区内6か所の区民事務所の窓口のみ。郵送・インターネットでの届出は不可と明記,可否が肯定形ではなく否定形（できません）で書かれている,https://www.city.nerima.tokyo.jp/kurashi/koseki/kiroku/tennyu.html,オンライン可否=転入届は郵送・インターネットでは届け出られず、窓口でのみ届け出る|届出先の窓口=区内6か所の区民事務所|来庁・受付の条件=受付の曜日・時間は窓口によって異なる
nerima,tennyu,期限,true,練馬区に住み始めてから14日以内（住み始める前の届出は不可）,,https://www.city.nerima.tokyo.jp/kurashi/koseki/kiroku/tennyu.html,期限の長さと起算点=練馬区に住み始めてから14日以内|届出できる期間の始まり=住み始める前には届け出られない
nerima,tennyu,手数料,false,,"転入届そのものの手数料はページ内に記載なし。マイナンバーカード再交付手数料1,000円/800円の記載はあるが別手続き。実際は無料だがサイトからは読み取れない",https://www.city.nerima.tokyo.jp/kurashi/koseki/kiroku/tennyu.html,
edogawa,tennyu,必要書類,true,本人確認書類、前住所地発行の転出証明書（紙の転出証明書を持つ場合）。マイナンバーカードでの特例転出・引越しワンストップ利用時はマイナンバーカード。外国人住民は在留カード等、世帯によっては続柄を確認できる書類,転入方法によって持ち物が3パターンに分岐する,https://www.city.edogawa.tokyo.jp/e038/kurashi/todoke/ido_todoke/tennyu.html,本人確認書類=窓口に来る方の本人確認書類|前住所地からの持参書類=前住所地の市区町村で発行を受けた転出証明書（紙の転出証明書をお持ちの方）|外国人住民の追加書類=外国人住民は在留カード又は特別永住者証明書|代理人が届け出る場合=代理人が届け出る場合は委任状|該当者限定・数量の条件=外国人住民を含む世帯の場合は続柄を確認できる書類
edogawa,tennyu,窓口オンライン可否,true,窓口のみ。区役所区民課・各事務所の戸籍住民係で届出（必ず来庁が必要）,,https://www.city.edogawa.tokyo.jp/e038/kurashi/todoke/ido_todoke/tennyu.html,オンライン可否=転入届はオンラインでは完結できず、窓口でのみ届け出る|届出先の窓口=届出先は区役所区民課、または各事務所の戸籍住民係|来庁・受付の条件=届出できるのは本人・世帯主・同一世帯の方
edogawa,tennyu,期限,true,住みはじめた日から14日以内（住みはじめる前の届出は不可）,,https://www.city.edogawa.tokyo.jp/e038/kurashi/todoke/ido_todoke/tennyu.html,期限の長さと起算点=住みはじめた日から14日以内|届出できる期間の始まり=住みはじめる前には届け出られない
edogawa,tennyu,手数料,false,,手数料の記載なし。届出を怠った場合の過料5万円以下の記載のみ。実際は無料だがサイトからは読み取れない,https://www.city.edogawa.tokyo.jp/e038/kurashi/todoke/ido_todoke/tennyu.html,
hachioji,tennyu,必要書類,true,前住所地市区町村発行の転出証明書、本人確認書類。所有者のみマイナンバーカード・住民基本台帳カード（異動者全員分）、代理人の場合は委任状。外国人住民は在留カード又は特別永住者証明書、続柄を証する文書,表形式で整理されているが、入口ページ（転入届index）には無く、状況別の子ページにある,https://www.city.hachioji.tokyo.jp/kurashi/kosekijumin/002/001/p004460.html,本人確認書類=窓口に来る方の本人確認書類|前住所地からの持参書類=前住所地の市区町村が発行した転出証明書|外国人住民の追加書類=外国人住民は在留カード又は特別永住者証明書|代理人が届け出る場合=代理人が届け出る場合は委任状|該当者限定・数量の条件=マイナンバーカードは、所有している方のみ、所有している異動者全員分
hachioji,tennyu,窓口オンライン可否,true,窓口のみ。市役所本庁舎1階市民課、八王子駅南口総合事務所、南大沢事務所、市民部各事務所で受付（曜日・時間は窓口ごとに異なる）,「手続によってはオンライン申請に対応」という記述はあるが、転入届自体がオンライン完結できるとは書かれていない,https://www.city.hachioji.tokyo.jp/kurashi/kosekijumin/002/001/p004460.html,オンライン可否=転入届の届出方法として案内されているのは受付窓口のみ|届出先の窓口=市役所本庁舎1階市民課、八王子駅南口総合事務所、南大沢事務所、市民部各事務所|来庁・受付の条件=市役所本庁舎1階市民課の受付は月曜日から金曜日（祝日・年末年始を除く）の午前8時30分から午後5時
hachioji,tennyu,期限,true,八王子市に住み始めてから14日以内（予定では届出できない）,,https://www.city.hachioji.tokyo.jp/kurashi/kosekijumin/002/001/p004460.html,期限の長さと起算点=八王子市に住み始めてから14日以内|届出できる期間の始まり=住み始める予定の段階では届け出できない
hachioji,tennyu,手数料,false,,手数料の記載なし。届出が遅れた場合の過料5万円以下の記載のみ。実際は無料だがサイトからは読み取れない,https://www.city.hachioji.tokyo.jp/kurashi/kosekijumin/002/001/p004460.html,
